name,rest_id,city,area,rating,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
Bhaina Hotel And Fast Food,82520,57,Sahid Nagar,3.7,"['Indian', 'Chinese', 'Biryani', 'Oriya']",20000,46,46,46,Near Voltas Pvt,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
ZAM ZAM GRILLS,321685,57,Patia,3.8,"['North Indian', 'Chinese']",40000,46,46,46,Patia,,,,2700,
House of Biryani,71772,57,Patia,3.9,"['Indian', 'Mughlai', 'Tandoor', 'Chinese', 'Biryani']",30000,46,46,46,KIIT College Road,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Bhookaa,71609,57,Patia,4,"['Indian', 'Chinese']",60000,46,46,46,Sailashree Vihar,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2700,
Sizzling Pots,180530,57,Patia,4,"['Indian', 'Chinese']",25000,46,46,46,"Kanan vihar phase-2, patia",,,,3200,
Michael's Kitchen,78385,57,Sahid Nagar,4.1,"['Asian', 'Indian']",80000,46,46,46,Gajapati Nagar,,,,2200,
Biggies Burger 'n' More,87320,57,Sahid Nagar,4.2,"['Fast Food', 'American', 'Cafe']",30000,46,46,46,Near BMC Mall,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
HOTEL SAI SWAD,305735,57,Rasulgarh,4.2,['Indian'],30000,46,46,46,Rasulgarh,,,,2700,
WOK OF CHINA,330297,57,Patia,--,['Chinese'],20000,46,46,46,Patia,35% off on orders above ₹179,Percentage,RESTAURANT,2200,
THE BIRYANI HUB,321386,57,Khandagiri,--,['Indian'],40000,46,46,46,Khandagiri,,,,3700,
Rolling Spice,266469,57,Rasulgarh,--,"['Beverages', 'Fast Food']",15000,46,46,46,Rasulgarh,,,,3700,
Chai Resto,250625,57,Patia,3.2,"['Beverages', 'Fast Food', 'South Indian']",20000,47,47,47,Patia,,,,3200,
Dabba Garam,326629,57,Nayapalli,3.3,"['Chinese', 'Combo', 'North Indian']",20000,47,47,47,Nayapalli,50% off on orders above ₹129,Percentage,RESTAURANT,2700,
3Q Premium Restaurant,75644,57,Nayapalli,3.6,"['Indian', 'Chinese', 'Tandoor']",20000,47,47,47,Near Kalinga Stadium Gate No 2,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Hot Chilly Resto,71210,57,Patia,3.8,"['North Indian', 'Chinese', 'Biryani']",20000,47,47,47,Nandankanan Road,60% off | Use DEAL60,Percentage,RESTAURANT,2700,
