name,rest_id,city,area,cuisine,cost_for_two,del_time,max_del_time,min_del_time,loc,disc_meta,disc_type,disc_op_type,fee,menu_link
Sandwich Guru,174784,1,HSR,"['Fast Food', 'Snacks', 'Beverages']",9900,28,28,28,HSR LAYOUT,45% off on all orders,Percentage,RESTAURANT,2800,
The Roll Pod!,275401,1,Kudlu Gate,"['Fast Food', 'Snacks', 'Healthy Food', 'Street Food', 'Beverages']",25000,28,28,28,Kudlu Gate,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Celebrations by Ovenstory,263814,1,Kudlu Gate,"['Pizzas', 'Desserts']",50000,28,28,28,AECS Layout,40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
The Farmer's Son,202176,1,Kudlu Gate,"['Beverages', 'Juices', 'Healthy Food']",20000,28,28,28,"Haralur Road, Kudlu Rd",40% off | Use HEALTHHUB,Percentage,RESTAURANT,2500,
Venkataramana nellore mess,211287,1,HSR,"['South Indian', 'Chinese']",20000,28,28,28,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
CREAMS & BITES,324965,1,Kudlu Gate,['Ice Cream'],25000,28,28,28,Singasandra,20% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
Sagar fast food,100588,1,HSR,"['South Indian', 'North Indian', 'Fast Food']",15000,28,28,28,24th main road 2nd sector,10% off on orders above ₹120,Percentage,RESTAURANT,2500,
NH8,142463,1,Kudlu Gate,"['North Indian', 'Rajasthani', 'Chaat']",20000,28,28,28,Haralur Road,,,,2500,
Chef Of Shanghai,334348,1,HSR,['Chinese'],25000,28,28,28,HSR,,,,2500,
Kolkata Biryani & Kati Roll,196348,1,HSR,['Indian'],30000,28,28,28,HSR,,,,2500,
Star Punjab,316254,1,Kudlu Gate,['Snacks'],30000,28,28,28,Sai Sree layout haralur main road,,,,2500,
Kolkata Biryani,175523,1,HSR,"['Biryani', 'Chinese', 'Fast Food']",30000,28,28,28,,,,,2500,
FALOODA PALACE,344745,1,HSR,"['Beverages', 'Desserts']",36000,28,28,28,HSR,,,,2800,
Meat and Eat,92363,1,Bellandur Sarjapur,['Fast Food'],50000,28,28,28,Matha Amrita College Road,,,,2800,
Sardarji Londonwaley,151043,1,Kudlu Gate,"['North Indian', 'Chinese', 'Indian', 'Mughlai', 'Biryani']",30000,29,29,29,Arekere,60% off | Use DEAL60,Percentage,RESTAURANT,0,
Artinci - Healthy Desserts,259581,1,Whitefield ,"['Desserts', 'Ice Cream', 'Keto', 'Healthy Food', 'Beverages', 'Snacks', 'Bakery']",30000,29,29,29,Kudlu Gate,60% off | Use DEAL60,Percentage,RESTAURANT,0,
Great Indian Khichdi,246632,1,HSR,"['Indian', 'Home Food', 'Healthy Food']",20000,29,29,29,"24th Cross Road,Sector 2",50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Mama Mia! - Italian Ice Creams,184129,1,HSR,"['Ice Cream', 'Desserts', 'Bakery', 'Sweets']",20000,29,29,29,HSR,50% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Punjabi Nawabi,38008,1,Kudlu Gate,"['Punjabi', 'North Indian', 'Indian', 'Chinese', 'Biryani']",40000,29,29,29,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Punjabi Unplugged,151047,1,Kudlu Gate,"['North Indian', 'Chinese', 'Indian', 'Mughlai', 'Biryani']",30000,29,29,29,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
The Naidu Biryani,237372,1,Kudlu Gate,"['Biryani', 'South Indian', 'North Indian', 'Thalis', 'Andhra']",35000,29,29,29,"harlur road,hsr",40% off | Use SWIGGYIT,Percentage,RESTAURANT,2500,
homely,66864,1,Kudlu Gate,"['Home Food', 'North Indian', 'South Indian', 'Healthy Food', 'Beverages', 'Chettinad', 'Combo', 'Desserts', 'Hyderabadi', 'Indian', 'Lucknowi', 'Maharashtrian', 'Mangalorean', 'Punjabi', 'Rajasthani', 'Snacks', 'Sweets', 'Thalis']",20000,29,29,29,Haralakunte Village,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Donne Biriyanis Junction,320177,1,HSR,"['Biryani', 'Indian']",30000,29,29,29,HSR,40% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Mughlai Cravings,235277,1,HSR,"['Chinese', 'Indian', 'Tandoor', 'Mughlai']",20000,29,29,29,HSR,30% off | Use SWIGGYIT,Percentage,RESTAURANT,0,
Maareddy's Hyderabad Biryani House,213531,1,Kudlu Gate,"['Biryani', 'Chinese', 'Indian', 'Tandoor', 'Hyderabadi', 'Andhra', 'Punjabi']",30000,29,29,29,"PWD Quarters, Harlur",,,,2500,
Families Food Court,71937,1,HSR,"['Chinese', 'North Indian']",30000,29,29,29,Kudlu gate,,,,2500,
MUMBAI 99 VARIETY DOSA,295487,1,HSR,"['South Indian', 'Fast Food', 'Beverages']",9900,29,29,29,HSR,,,,2800,
125 gms,253630,1,HSR,"['Cafe', 'Chinese', 'Combo', 'Indian']",15000,29,29,29,HSR,,,,2500,
Zippy Bowls,322379,1,HSR,"['Biryani', 'Chinese', 'Combo', 'Continental', 'Desserts', 'North Indian', 'Pan-Asian']",30000,29,29,29,HSR,,,,2800,
